state,year,occupied_households,Total,vacant_households
AK,2005,233252.0,274246.0,40994.0
AK,2006,229878.0,276590.0,46712.0
AK,2007,236421.0,282271.0,45850.0
AK,2008,237607.0,283403.0,45796.0
AK,2009,236597.0,283895.0,47298.0
AK,2010,254610.0,307065.0,52455.0
AK,2011,257330.0,311182.0,53852.0
AK,2012,251651.0,307628.0,55977.0
AK,2013,246015.0,307417.0,61402.0
AK,2014,249659.0,308571.0,58912.0
AK,2015,250185.0,309453.0,59268.0
AK,2016,248468.0,310672.0,62204.0
AK,2017,250741.0,316968.0,66227.0
AK,2018,254551.0,318352.0,63801.0
AK,2019,252199.0,319867.0,67668.0
AL,2005,1788692.0,2082140.0,293448.0
AL,2006,1796058.0,2110139.0,314081.0
AL,2007,1816313.0,2137012.0,320699.0
AL,2008,1815865.0,2158692.0,342827.0
AL,2009,1848051.0,2182358.0,334307.0
AL,2010,1815152.0,2174428.0,359276.0
AL,2011,1844546.0,2182199.0,337653.0
AL,2012,1845169.0,2189567.0,344398.0
AL,2013,1822439.0,2190027.0,367588.0
AL,2014,1841217.0,2208030.0,366813.0
AL,2015,1846390.0,2218391.0,372001.0
AL,2016,1852518.0,2230180.0,377662.0
AL,2017,1841665.0,2258669.0,417004.0
AL,2018,1855184.0,2274711.0,419527.0
AL,2019,1897576.0,2284922.0,387346.0
AR,2005,1087542.0,1249116.0,161574.0
AR,2006,1103428.0,1273433.0,170005.0
AR,2007,1102734.0,1287472.0,184738.0
AR,2008,1114041.0,1298176.0,184135.0
AR,2009,1124947.0,1309843.0,184896.0
AR,2010,1114902.0,1317818.0,202916.0
AR,2011,1127621.0,1324471.0,196850.0
AR,2012,1143859.0,1328225.0,184366.0
AR,2013,1125899.0,1329777.0,203878.0
AR,2014,1131288.0,1341081.0,209793.0
AR,2015,1144663.0,1347598.0,202935.0
AR,2016,1142718.0,1354801.0,212083.0
AR,2017,1153082.0,1370109.0,217027.0
AR,2018,1156347.0,1380521.0,224174.0
AR,2019,1163647.0,1389159.0,225512.0
AZ,2005,2204013.0,2544806.0,340793.0
AZ,2006,2224992.0,2605095.0,380103.0
AZ,2007,2251546.0,2667550.0,416004.0
AZ,2008,2273842.0,2722712.0,448870.0
AZ,2009,2276865.0,2753059.0,476194.0
AZ,2010,2334050.0,2846738.0,512688.0
AZ,2011,2356055.0,2864360.0,508305.0
AZ,2012,2392168.0,2871486.0,479318.0
AZ,2013,2400809.0,2892359.0,491550.0
AZ,2014,2428743.0,2909336.0,480593.0
AZ,2015,2463008.0,2929173.0,466165.0
AZ,2016,2519052.0,2961136.0,442084.0
AZ,2017,2552972.0,2999185.0,446213.0
AZ,2018,2614298.0,3035902.0,421604.0
AZ,2019,2670441.0,3076048.0,405607.0
CA,2005,12097894.0,12989254.0,891360.0
CA,2006,12151227.0,13174781.0,1023554.0
CA,2007,12200672.0,13308705.0,1108033.0
CA,2008,12176760.0,13394143.0,1217383.0
CA,2009,12214891.0,13434537.0,1219646.0
CA,2010,12406475.0,13682976.0,1276501.0
CA,2011,12468743.0,13721187.0,1252444.0
CA,2012,12552658.0,13708197.0,1155539.0
CA,2013,12650592.0,13791262.0,1140670.0
CA,2014,12758648.0,13901594.0,1142946.0
CA,2015,12896357.0,13988399.0,1092042.0
CA,2016,12944178.0,14061375.0,1117197.0
CA,2017,13005097.0,14177270.0,1172173.0
CA,2018,13072122.0,14277867.0,1205745.0
CA,2019,13157873.0,14367012.0,1209139.0
CO,2005,1819037.0,2053178.0,234141.0
CO,2006,1846988.0,2095235.0,248247.0
CO,2007,1859965.0,2127358.0,267393.0
CO,2008,1897835.0,2152124.0,254289.0
CO,2009,1910146.0,2167902.0,257756.0
CO,2010,1960585.0,2214262.0,253677.0
CO,2011,1975388.0,2224661.0,249273.0
CO,2012,1996088.0,2230536.0,234448.0
CO,2013,2002800.0,2247291.0,244491.0
CO,2014,2039592.0,2276280.0,236688.0
CO,2015,2074735.0,2309122.0,234387.0
CO,2016,2108992.0,2339140.0,230148.0
CO,2017,2139207.0,2385495.0,246288.0
CO,2018,2176757.0,2424128.0,247371.0
CO,2019,2235103.0,2464109.0,229006.0
CT,2005,1323838.0,1423343.0,99505.0
CT,2006,1325443.0,1432250.0,106807.0
CT,2007,1320714.0,1438548.0,117834.0
CT,2008,1329305.0,1443192.0,113887.0
CT,2009,1326329.0,1445840.0,119511.0
CT,2010,1358809.0,1488215.0,129406.0
CT,2011,1351643.0,1494042.0,142399.0
CT,2012,1357812.0,1488002.0,130190.0
CT,2013,1339860.0,1488072.0,148212.0
CT,2014,1355817.0,1493632.0,137815.0
CT,2015,1343703.0,1496056.0,152353.0
CT,2016,1357269.0,1499145.0,141876.0
CT,2017,1356762.0,1517495.0,160733.0
CT,2018,1378091.0,1521123.0,143032.0
CT,2019,1377166.0,1524959.0,147793.0
DC,2005,248213.0,277775.0,29562.0
DC,2006,250456.0,282900.0,32444.0
DC,2007,251039.0,284235.0,33196.0
DC,2008,249996.0,285363.0,35367.0
DC,2009,249280.0,285164.0,35884.0
DC,2010,252388.0,296836.0,44448.0
DC,2011,268670.0,298908.0,30238.0
DC,2012,266662.0,300247.0,33585.0
DC,2013,271651.0,302975.0,31324.0
DC,2014,277378.0,306184.0,28806.0
DC,2015,281787.0,309596.0,27809.0
DC,2016,281241.0,313703.0,32462.0
DC,2017,281475.0,314843.0,33368.0
DC,2018,287476.0,319579.0,32103.0
DC,2019,291570.0,322814.0,31244.0
DE,2005,317640.0,374872.0,57232.0
DE,2006,320110.0,382866.0,62756.0
DE,2007,328477.0,388619.0,60142.0
DE,2008,328654.0,392967.0,64313.0
DE,2009,327252.0,396270.0,69018.0
DE,2010,328765.0,406489.0,77724.0
DE,2011,333192.0,409779.0,76587.0
DE,2012,340308.0,410308.0,70000.0
DE,2013,339071.0,412015.0,72944.0
DE,2014,349743.0,417413.0,67670.0
DE,2015,352595.0,421734.0,69139.0
DE,2016,351085.0,426154.0,75069.0
DE,2017,357937.0,432853.0,74916.0
DE,2018,367671.0,438659.0,70988.0
DE,2019,376239.0,443764.0,67525.0
FL,2005,7048800.0,8256847.0,1208047.0
FL,2006,7106042.0,8531860.0,1425818.0
FL,2007,7088960.0,8716601.0,1627641.0
FL,2008,7057285.0,8798213.0,1740928.0
FL,2009,6987647.0,8848172.0,1860525.0
FL,2010,7035068.0,8994091.0,1959023.0
FL,2011,7106283.0,9027271.0,1920988.0
FL,2012,7197943.0,9031530.0,1833587.0
FL,2013,7211584.0,9047973.0,1836389.0
FL,2014,7328046.0,9144650.0,1816604.0
FL,2015,7463184.0,9210287.0,1747103.0
FL,2016,7573456.0,9302140.0,1728684.0
FL,2017,7689964.0,9441585.0,1751621.0
FL,2018,7809358.0,9547762.0,1738404.0
FL,2019,7905832.0,9674053.0,1768221.0
GA,2005,3320278.0,3771466.0,451188.0
GA,2006,3376763.0,3873405.0,496642.0
GA,2007,3417115.0,3961643.0,544528.0
GA,2008,3469845.0,4026181.0,556336.0
GA,2009,3469250.0,4063506.0,594256.0
GA,2010,3482420.0,4091482.0,609062.0
GA,2011,3494542.0,4103118.0,608576.0
GA,2012,3532908.0,4107554.0,574646.0
GA,2013,3546965.0,4110162.0,563197.0
GA,2014,3587521.0,4151387.0,563866.0
GA,2015,3656407.0,4182228.0,525821.0
GA,2016,3686135.0,4219103.0,532968.0
GA,2017,3745074.0,4282254.0,537180.0
GA,2018,3803012.0,4326266.0,523254.0
GA,2019,3852714.0,4378350.0,525636.0
HI,2005,430007.0,491071.0,61064.0
HI,2006,432632.0,500021.0,67389.0
HI,2007,439685.0,506751.0,67066.0
HI,2008,437105.0,512842.0,75737.0
HI,2009,446136.0,515663.0,69527.0
HI,2010,445812.0,519992.0,74180.0
HI,2011,448563.0,522314.0,73751.0
HI,2012,447748.0,524387.0,76639.0
HI,2013,450120.0,526305.0,76185.0
HI,2014,450769.0,530118.0,79349.0
HI,2015,445936.0,532413.0,86477.0
HI,2016,455868.0,537170.0,81302.0
HI,2017,458078.0,542955.0,84877.0
HI,2018,455309.0,546261.0,90952.0
HI,2019,465299.0,550328.0,85029.0
IA,2005,1200833.0,1306943.0,106110.0
IA,2006,1208765.0,1319980.0,111215.0
IA,2007,1214353.0,1329388.0,115035.0
IA,2008,1215351.0,1328740.0,113389.0
IA,2009,1226804.0,1342052.0,115248.0
IA,2010,1223439.0,1337563.0,114124.0
IA,2011,1216765.0,1340588.0,123823.0
IA,2012,1227048.0,1345711.0,118663.0
IA,2013,1236209.0,1349607.0,113398.0
IA,2014,1241471.0,1362034.0,120563.0
IA,2015,1247249.0,1369379.0,122130.0
IA,2016,1247932.0,1380087.0,132155.0
IA,2017,1257505.0,1397739.0,140234.0
IA,2018,1267873.0,1409568.0,141695.0
IA,2019,1287221.0,1418600.0,131379.0
ID,2005,532135.0,595572.0,63437.0
ID,2006,548555.0,615703.0,67148.0
ID,2007,560567.0,631022.0,70455.0
ID,2008,566004.0,641543.0,75539.0
ID,2009,558466.0,647537.0,89071.0
ID,2010,576709.0,668634.0,91925.0
ID,2011,580193.0,674394.0,94201.0
ID,2012,583106.0,673048.0,89942.0
ID,2013,588489.0,676192.0,87703.0
ID,2014,591587.0,685098.0,93511.0
ID,2015,597421.0,692482.0,95061.0
ID,2016,610872.0,700829.0,89957.0
ID,2017,625135.0,721818.0,96683.0
ID,2018,640270.0,735703.0,95433.0
ID,2019,655859.0,751113.0,95254.0
IL,2005,4691020.0,5144623.0,453603.0
IL,2006,4724252.0,5199743.0,475491.0
IL,2007,4759579.0,5246116.0,486537.0
IL,2008,4766252.0,5276082.0,509830.0
IL,2009,4757452.0,5290878.0,533426.0
IL,2010,4752857.0,5297077.0,544220.0
IL,2011,4737208.0,5296209.0,559001.0
IL,2012,4770194.0,5290149.0,519955.0
IL,2013,4783421.0,5289653.0,506232.0
IL,2014,4772421.0,5307508.0,535087.0
IL,2015,4794523.0,5317618.0,523095.0
IL,2016,4822046.0,5327165.0,505119.0
IL,2017,4808672.0,5359416.0,550744.0
IL,2018,4864864.0,5376176.0,511312.0
IL,2019,4866006.0,5388210.0,522204.0
IN,2005,2443010.0,2724429.0,281419.0
IN,2006,2435274.0,2756583.0,321309.0
IN,2007,2462278.0,2777953.0,315675.0
IN,2008,2480570.0,2795063.0,314493.0
IN,2009,2477548.0,2809487.0,331939.0
IN,2010,2470905.0,2797172.0,326267.0
IN,2011,2467111.0,2800799.0,333688.0
IN,2012,2480077.0,2808430.0,328353.0
IN,2013,2498395.0,2809640.0,311245.0
IN,2014,2502739.0,2829630.0,326891.0
IN,2015,2515143.0,2841450.0,326307.0
IN,2016,2533270.0,2854595.0,321325.0
IN,2017,2557299.0,2885342.0,328043.0
IN,2018,2599169.0,2903576.0,304407.0
IN,2019,2597765.0,2921115.0,323350.0
KS,2005,1071938.0,1196211.0,124273.0
KS,2006,1088288.0,1207391.0,119103.0
KS,2007,1088835.0,1219100.0,130265.0
KS,2008,1110829.0,1226429.0,115600.0
KS,2009,1104976.0,1231995.0,127019.0
KS,2010,1101658.0,1234037.0,132379.0
KS,2011,1101701.0,1237738.0,136037.0
KS,2012,1113911.0,1238703.0,124792.0
KS,2013,1113729.0,1239755.0,126026.0
KS,2014,1109280.0,1248861.0,139581.0
KS,2015,1111582.0,1253889.0,142307.0
KS,2016,1110407.0,1259870.0,149463.0
KS,2017,1128983.0,1273776.0,144793.0
KS,2018,1133408.0,1280553.0,147145.0
KS,2019,1138329.0,1288430.0,150101.0
KY,2005,1653898.0,1865516.0,211618.0
KY,2006,1651911.0,1888336.0,236425.0
KY,2007,1655767.0,1906198.0,250431.0
KY,2008,1686277.0,1920533.0,234256.0
KY,2009,1694197.0,1934995.0,240798.0
KY,2010,1684348.0,1928617.0,244269.0
KY,2011,1672134.0,1932731.0,260597.0
KY,2012,1707004.0,1937321.0,230317.0
KY,2013,1705623.0,1936634.0,231011.0
KY,2014,1712094.0,1950504.0,238410.0
KY,2015,1716168.0,1957133.0,240965.0
KY,2016,1717706.0,1965577.0,247871.0
KY,2017,1725034.0,1984235.0,259201.0
KY,2018,1732713.0,1995187.0,262474.0
KY,2019,1748732.0,2006335.0,257603.0
LA,2005,1676599.0,1940399.0,263800.0
LA,2006,1564978.0,1829933.0,264955.0
LA,2007,1597111.0,1858586.0,261475.0
LA,2008,1625153.0,1883134.0,257981.0
LA,2009,1688027.0,1963337.0,275310.0
LA,2010,1689822.0,1967947.0,278125.0
LA,2011,1702030.0,1978974.0,276944.0
LA,2012,1719473.0,1987059.0,267586.0
LA,2013,1728149.0,1990967.0,262818.0
LA,2014,1718194.0,2011037.0,292843.0
LA,2015,1737908.0,2024737.0,286829.0
LA,2016,1720801.0,2037067.0,316266.0
LA,2017,1737123.0,2061582.0,324459.0
LA,2018,1737220.0,2076136.0,338916.0
LA,2019,1741076.0,2089824.0,348748.0
MA,2005,2448032.0,2688014.0,239982.0
MA,2006,2446485.0,2709208.0,262723.0
MA,2007,2449133.0,2722323.0,273190.0
MA,2008,2467323.0,2735645.0,268322.0
MA,2009,2475492.0,2748475.0,272983.0
MA,2010,2520419.0,2808727.0,288308.0
MA,2011,2532067.0,2819028.0,286961.0
MA,2012,2522394.0,2810394.0,288000.0
MA,2013,2536321.0,2813641.0,277320.0
MA,2014,2549336.0,2828592.0,279256.0
MA,2015,2559951.0,2845805.0,285854.0
MA,2016,2579398.0,2858087.0,278689.0
MA,2017,2604954.0,2894590.0,289636.0
MA,2018,2624294.0,2915043.0,290749.0
MA,2019,2650680.0,2928818.0,278138.0
MD,2005,2085647.0,2273793.0,188146.0
MD,2006,2089031.0,2300749.0,211718.0
MD,2007,2082458.0,2318430.0,235972.0
MD,2008,2092692.0,2333250.0,240558.0
MD,2009,2095122.0,2341332.0,246210.0
MD,2010,2127439.0,2380605.0,253166.0
MD,2011,2134517.0,2391508.0,256991.0
MD,2012,2157717.0,2395635.0,237918.0
MD,2013,2161680.0,2404177.0,242497.0
MD,2014,2165438.0,2422317.0,256879.0
MD,2015,2177934.0,2434465.0,256531.0
MD,2016,2194657.0,2447211.0,252554.0
MD,2017,2207343.0,2449123.0,241780.0
MD,2018,2215935.0,2458779.0,242844.0
MD,2019,2226767.0,2470307.0,243540.0
ME,2005,542158.0,683799.0,141641.0
ME,2006,548247.0,691164.0,142917.0
ME,2007,543952.0,696681.0,152729.0
ME,2008,542363.0,700550.0,158187.0
ME,2009,544855.0,704574.0,159719.0
ME,2010,545417.0,722217.0,176800.0
ME,2011,552051.0,725650.0,173599.0
ME,2012,554543.0,724187.0,169644.0
ME,2013,547686.0,723140.0,175454.0
ME,2014,549841.0,727693.0,177852.0
ME,2015,545226.0,729392.0,184166.0
ME,2016,531660.0,730786.0,199126.0
ME,2017,540959.0,742644.0,201685.0
ME,2018,570307.0,746592.0,176285.0
ME,2019,573618.0,750964.0,177346.0
MI,2005,3887994.0,4478507.0,590513.0
MI,2006,3869117.0,4513502.0,644385.0
MI,2007,3849007.0,4526914.0,677907.0
MI,2008,3810801.0,4535568.0,724767.0
MI,2009,3819736.0,4541470.0,721734.0
MI,2010,3806621.0,4531231.0,724610.0
MI,2011,3772433.0,4525654.0,753221.0
MI,2012,3819068.0,4525081.0,706013.0
MI,2013,3832466.0,4525266.0,692800.0
MI,2014,3834574.0,4540088.0,705514.0
MI,2015,3858532.0,4550324.0,691792.0
MI,2016,3884153.0,4560164.0,676011.0
MI,2017,3930017.0,4595274.0,665257.0
MI,2018,3957466.0,4614552.0,657086.0
MI,2019,3969880.0,4629605.0,659725.0
MN,2005,2020144.0,2252022.0,231878.0
MN,2006,2042297.0,2282837.0,240540.0
MN,2007,2062681.0,2304473.0,241792.0
MN,2008,2089449.0,2331203.0,241754.0
MN,2009,2085767.0,2331243.0,245476.0
MN,2010,2091548.0,2348242.0,256694.0
MN,2011,2096477.0,2354075.0,257598.0
MN,2012,2111943.0,2361074.0,249131.0
MN,2013,2119954.0,2368754.0,248800.0
MN,2014,2129195.0,2385261.0,256066.0
MN,2015,2147262.0,2397081.0,249819.0
MN,2016,2148725.0,2409701.0,260976.0
MN,2017,2162211.0,2437726.0,275515.0
MN,2018,2194452.0,2455637.0,261185.0
MN,2019,2222568.0,2477515.0,254947.0
MO,2005,2285280.0,2592809.0,307529.0
MO,2006,2305027.0,2622995.0,317968.0
MO,2007,2309626.0,2647379.0,337753.0
MO,2008,2330040.0,2664062.0,334022.0
MO,2009,2339684.0,2682015.0,342331.0
MO,2010,2350628.0,2714017.0,363389.0
MO,2011,2341074.0,2723449.0,382375.0
MO,2012,2359135.0,2720087.0,360952.0
MO,2013,2362853.0,2719109.0,356256.0
MO,2014,2354809.0,2735803.0,380994.0
MO,2015,2374180.0,2746644.0,372464.0
MO,2016,2372190.0,2760226.0,388036.0
MO,2017,2385135.0,2792445.0,407310.0
MO,2018,2434806.0,2806296.0,371490.0
MO,2019,2458337.0,2819334.0,360997.0
MS,2005,1084034.0,1235496.0,151462.0
MS,2006,1075521.0,1241439.0,165918.0
MS,2007,1080039.0,1254936.0,174897.0
