state,year,median_age
AL,2005,37.4
AL,2006,37.2
AL,2007,37.3
AL,2008,37.4
AL,2009,37.4
AL,2010,37.8
AL,2011,38.1
AL,2012,38.2
AL,2013,38.3
AL,2014,38.6
AL,2015,38.7
AL,2016,39.0
AL,2017,38.9
AL,2018,39.3
AL,2019,39.4
AK,2005,33.9
AK,2006,33.5
AK,2007,33.3
AK,2008,33.0
AK,2009,32.6
AK,2010,33.8
AK,2011,33.9
AK,2012,33.8
AK,2013,33.1
AK,2014,33.3
AK,2015,33.3
AK,2016,33.5
AK,2017,34.5
AK,2018,34.9
AK,2019,35.0
AZ,2005,34.5
AZ,2006,34.6
AZ,2007,34.9
AZ,2008,35.1
AZ,2009,34.9
AZ,2010,35.9
AZ,2011,36.2
AZ,2012,36.6
AZ,2013,36.8
AZ,2014,36.9
AZ,2015,37.4
AZ,2016,37.5
AZ,2017,37.7
AZ,2018,38.0
AZ,2019,38.3
AR,2005,37.0
AR,2006,37.1
AR,2007,37.0
AR,2008,37.3
AR,2009,37.1
AR,2010,37.3
AR,2011,37.5
AR,2012,37.6
AR,2013,37.8
AR,2014,37.8
AR,2015,37.9
AR,2016,38.0
AR,2017,38.1
AR,2018,38.1
AR,2019,38.8
CA,2005,34.4
CA,2006,34.4
CA,2007,34.7
CA,2008,34.9
CA,2009,34.9
CA,2010,35.2
CA,2011,35.4
CA,2012,35.5
CA,2013,35.7
CA,2014,36.0
CA,2015,36.2
CA,2016,36.4
CA,2017,36.5
CA,2018,36.7
CA,2019,37.0
CO,2005,34.7
CO,2006,35.4
CO,2007,35.7
CO,2008,35.8
CO,2009,35.7
CO,2010,36.0
CO,2011,36.2
CO,2012,36.2
CO,2013,36.4
CO,2014,36.3
CO,2015,36.4
CO,2016,36.7
CO,2017,36.8
CO,2018,36.9
CO,2019,37.1
CT,2005,39.3
CT,2006,39.1
CT,2007,39.1
CT,2008,39.3
CT,2009,39.5
CT,2010,40.0
CT,2011,40.3
CT,2012,40.4
CT,2013,40.5
CT,2014,40.5
CT,2015,40.6
CT,2016,40.9
CT,2017,40.9
CT,2018,41.1
CT,2019,41.2
DE,2005,37.9
DE,2006,37.5
DE,2007,37.8
DE,2008,38.3
DE,2009,38.2
DE,2010,38.8
DE,2011,39.1
DE,2012,39.2
DE,2013,39.1
DE,2014,39.6
DE,2015,39.7
DE,2016,40.6
DE,2017,40.1
DE,2018,41.1
DE,2019,41.4
DC,2005,35.9
DC,2006,35.0
DC,2007,34.9
DC,2008,34.9
DC,2009,35.1
DC,2010,33.9
DC,2011,33.4
DC,2012,33.7
DC,2013,33.8
DC,2014,33.8
DC,2015,33.8
DC,2016,33.9
DC,2017,34.0
DC,2018,33.9
DC,2019,34.3
FL,2005,39.5
FL,2006,39.8
FL,2007,40.0
FL,2008,40.3
FL,2009,40.1
FL,2010,40.7
FL,2011,41.1
FL,2012,41.1
FL,2013,41.5
FL,2014,41.6
FL,2015,41.8
FL,2016,42.1
FL,2017,42.0
FL,2018,42.2
FL,2019,42.4
GA,2005,34.3
GA,2006,34.6
GA,2007,34.8
GA,2008,35.0
GA,2009,34.6
GA,2010,35.4
GA,2011,35.5
GA,2012,35.7
GA,2013,35.9
GA,2014,36.1
GA,2015,36.4
GA,2016,36.5
GA,2017,36.8
GA,2018,36.8
GA,2019,37.2
HI,2005,38.5
HI,2006,37.2
HI,2007,38.1
HI,2008,38.3
HI,2009,37.9
HI,2010,38.7
HI,2011,38.5
HI,2012,38.3
HI,2013,38.1
HI,2014,38.1
HI,2015,37.7
HI,2016,38.9
HI,2017,39.2
HI,2018,39.3
HI,2019,39.6
ID,2005,34.6
ID,2006,34.3
ID,2007,34.3
ID,2008,34.4
ID,2009,34.2
ID,2010,34.7
ID,2011,35.0
ID,2012,35.2
ID,2013,35.7
ID,2014,35.9
ID,2015,35.8
ID,2016,36.1
ID,2017,36.3
ID,2018,36.8
ID,2019,36.9
IL,2005,35.6
IL,2006,35.7
IL,2007,35.9
IL,2008,36.0
IL,2009,36.2
IL,2010,36.6
IL,2011,36.8
IL,2012,37.0
IL,2013,37.2
IL,2014,37.5
IL,2015,37.7
IL,2016,37.9
IL,2017,38.0
IL,2018,38.3
IL,2019,38.6
IN,2005,36.1
IN,2006,36.3
IN,2007,36.5
IN,2008,36.8
IN,2009,36.8
IN,2010,36.9
IN,2011,37.1
IN,2012,37.3
IN,2013,37.3
IN,2014,37.4
IN,2015,37.5
IN,2016,37.6
IN,2017,37.7
IN,2018,37.8
IN,2019,38.0
IA,2005,38.6
IA,2006,37.8
IA,2007,38.0
IA,2008,38.2
IA,2009,38.0
IA,2010,38.2
IA,2011,38.1
IA,2012,38.0
IA,2013,38.0
IA,2014,38.2
IA,2015,38.1
IA,2016,38.0
IA,2017,38.3
IA,2018,38.1
IA,2019,38.5
KS,2005,36.1
KS,2006,36.3
KS,2007,36.3
KS,2008,36.2
KS,2009,35.9
KS,2010,36.2
KS,2011,36.3
KS,2012,36.0
KS,2013,36.0
KS,2014,36.2
KS,2015,36.2
KS,2016,36.5
KS,2017,36.7
KS,2018,37.1
KS,2019,37.2
KY,2005,37.5
KY,2006,37.3
KY,2007,37.4
KY,2008,37.8
KY,2009,37.7
KY,2010,38.0
KY,2011,38.2
KY,2012,38.4
KY,2013,38.5
KY,2014,38.5
KY,2015,38.8
KY,2016,38.7
KY,2017,38.9
KY,2018,39.1
KY,2019,39.2
LA,2005,35.4
LA,2006,35.6
LA,2007,35.7
LA,2008,35.9
LA,2009,35.6
LA,2010,35.9
LA,2011,35.9
LA,2012,36.0
LA,2013,36.0
LA,2014,36.1
LA,2015,36.4
LA,2016,36.5
LA,2017,36.8
LA,2018,37.3
LA,2019,37.7
ME,2005,41.2
ME,2006,41.0
ME,2007,41.7
ME,2008,41.9
ME,2009,42.2
ME,2010,42.7
ME,2011,43.2
ME,2012,43.5
ME,2013,44.0
ME,2014,44.1
ME,2015,44.6
ME,2016,44.5
ME,2017,44.6
ME,2018,45.1
ME,2019,45.1
MD,2005,37.1
MD,2006,37.3
MD,2007,37.4
MD,2008,37.6
MD,2009,37.7
MD,2010,38.0
MD,2011,38.0
MD,2012,38.1
MD,2013,38.2
MD,2014,38.3
MD,2015,38.3
MD,2016,38.5
MD,2017,38.7
MD,2018,38.8
MD,2019,39.0
MA,2005,38.2
MA,2006,38.3
MA,2007,38.5
MA,2008,38.7
MA,2009,39.0
MA,2010,39.1
MA,2011,39.3
MA,2012,39.5
MA,2013,39.4
MA,2014,39.4
MA,2015,39.4
MA,2016,39.5
MA,2017,39.5
MA,2018,39.5
MA,2019,39.7
MI,2005,36.9
MI,2006,37.3
MI,2007,37.6
MI,2008,38.0
MI,2009,38.5
MI,2010,39.0
MI,2011,39.2
MI,2012,39.5
MI,2013,39.6
MI,2014,39.6
MI,2015,39.7
MI,2016,39.7
MI,2017,39.8
MI,2018,39.8
MI,2019,39.8
MN,2005,36.7
MN,2006,36.8
MN,2007,37.1
MN,2008,37.4
MN,2009,37.5
MN,2010,37.5
MN,2011,37.6
MN,2012,37.6
MN,2013,37.7
MN,2014,37.8
MN,2015,37.9
MN,2016,37.9
MN,2017,37.9
MN,2018,38.2
MN,2019,38.4
MS,2005,35.5
MS,2006,35.4
MS,2007,35.4
MS,2008,35.5
MS,2009,35.1
MS,2010,36.1
MS,2011,36.1
MS,2012,36.2
MS,2013,36.6
MS,2014,36.7
MS,2015,37.0
MS,2016,37.2
MS,2017,37.5
MS,2018,37.7
MS,2019,38.3
MO,2005,37.4
MO,2006,37.2
MO,2007,37.5
MO,2008,37.6
MO,2009,37.6
MO,2010,38.0
MO,2011,38.0
MO,2012,38.2
MO,2013,38.1
MO,2014,38.5
MO,2015,38.4
MO,2016,38.4
MO,2017,38.5
MO,2018,38.8
MO,2019,38.9
MT,2005,40.2
MT,2006,39.5
MT,2007,39.1
MT,2008,39.1
MT,2009,39.3
MT,2010,40.1
MT,2011,39.7
MT,2012,40.2
MT,2013,39.6
MT,2014,39.6
MT,2015,39.9
MT,2016,40.1
MT,2017,40.0
MT,2018,40.1
MT,2019,40.5
NE,2005,36.2
NE,2006,36.0
NE,2007,36.1
NE,2008,36.3
NE,2009,35.8
NE,2010,36.3
NE,2011,36.3
NE,2012,36.3
NE,2013,36.3
NE,2014,36.2
NE,2015,36.1
NE,2016,36.3
NE,2017,36.5
NE,2018,36.7
NE,2019,36.8
NV,2005,35.2
NV,2006,35.6
NV,2007,35.7
NV,2008,35.9
NV,2009,35.5
NV,2010,36.3
NV,2011,36.7
NV,2012,36.8
NV,2013,37.1
NV,2014,37.4
NV,2015,37.8
NV,2016,37.9
NV,2017,38.0
NV,2018,38.2
NV,2019,38.4
NH,2005,39.5
NH,2006,39.3
NH,2007,39.8
NH,2008,40.3
NH,2009,40.4
NH,2010,41.3
NH,2011,41.5
NH,2012,41.9
NH,2013,42.3
NH,2014,42.5
NH,2015,42.8
NH,2016,42.7
NH,2017,43.2
NH,2018,43.1
NH,2019,43.0
NJ,2005,38.0
NJ,2006,38.2
NJ,2007,38.4
NJ,2008,38.7
NJ,2009,38.7
NJ,2010,39.0
NJ,2011,39.2
NJ,2012,39.4
NJ,2013,39.4
NJ,2014,39.4
NJ,2015,39.6
NJ,2016,39.5
NJ,2017,39.8
NJ,2018,40.0
NJ,2019,40.2
NM,2005,36.2
NM,2006,35.2
NM,2007,36.0
NM,2008,36.0
NM,2009,35.5
NM,2010,36.7
NM,2011,36.6
NM,2012,36.8
NM,2013,36.9
NM,2014,37.2
NM,2015,37.4
NM,2016,37.7
NM,2017,37.7
NM,2018,38.1
NM,2019,38.6
NY,2005,37.5
NY,2006,37.4
NY,2007,37.7
NY,2008,38.0
NY,2009,38.1
NY,2010,38.0
NY,2011,38.1
NY,2012,38.1
NY,2013,38.2
NY,2014,38.2
NY,2015,38.3
NY,2016,38.4
NY,2017,38.7
NY,2018,39.0
NY,2019,39.2
NC,2005,36.2
NC,2006,36.6
NC,2007,36.8
NC,2008,37.0
NC,2009,36.9
NC,2010,37.3
NC,2011,37.7
NC,2012,37.8
NC,2013,37.9
NC,2014,38.3
NC,2015,38.4
NC,2016,38.7
NC,2017,38.8
NC,2018,38.9
NC,2019,39.1
ND,2005,39.1
ND,2006,37.1
ND,2007,37.1
ND,2008,37.0
ND,2009,37.0
ND,2010,37.4
ND,2011,36.6
ND,2012,36.2
ND,2013,35.5
ND,2014,35.1
ND,2015,34.9
ND,2016,35.0
ND,2017,35.4
ND,2018,35.4
ND,2019,35.5
OH,2005,37.6
OH,2006,37.6
OH,2007,37.8
OH,2008,38.2
OH,2009,38.5
OH,2010,38.9
OH,2011,39.1
OH,2012,39.3
OH,2013,39.3
OH,2014,39.4
OH,2015,39.3
OH,2016,39.3
OH,2017,39.3
OH,2018,39.5
OH,2019,39.6
OK,2005,36.5
OK,2006,36.2
OK,2007,36.1
OK,2008,36.3
OK,2009,35.7
OK,2010,36.3
OK,2011,36.3
OK,2012,36.3
OK,2013,36.2
OK,2014,36.2
OK,2015,36.3
OK,2016,36.4
OK,2017,36.6
OK,2018,36.7
OK,2019,37.0
OR,2005,37.0
OR,2006,37.6
OR,2007,37.9
OR,2008,38.0
OR,2009,38.0
OR,2010,38.5
OR,2011,38.7
OR,2012,38.9
OR,2013,39.1
OR,2014,39.3
OR,2015,39.1
OR,2016,39.2
OR,2017,39.3
OR,2018,39.6
OR,2019,39.7
PA,2005,39.7
PA,2006,39.6
PA,2007,39.7
PA,2008,40.0
PA,2009,39.9
PA,2010,40.2
PA,2011,40.3
PA,2012,40.5
PA,2013,40.6
PA,2014,40.7
PA,2015,40.7
PA,2016,40.6
PA,2017,40.8
PA,2018,40.8
PA,2019,40.8
,2005,34.4
,2006,34.7
,2007,35.4
,2008,35.9
,2009,36.3
,2010,37.2
,2011,37.5
,2012,37.8
,2013,38.6
,2014,39.3
,2015,40.0
,2016,40.7
,2017,41.4
,2018,42.9
,2019,43.1
RI,2005,38.4
RI,2006,38.4
RI,2007,38.3
RI,2008,38.8
RI,2009,39.4
RI,2010,39.6
RI,2011,39.5
RI,2012,39.8
RI,2013,39.9
RI,2014,39.8
RI,2015,39.7
RI,2016,40.2
RI,2017,39.5
RI,2018,40.0
RI,2019,40.1
SC,2005,37.1
SC,2006,37.1
SC,2007,37.4
SC,2008,37.6
SC,2009,37.5
SC,2010,37.8
SC,2011,38.0
SC,2012,38.3
SC,2013,38.6
SC,2014,38.8
SC,2015,39.0
SC,2016,39.1
SC,2017,39.4
SC,2018,39.7
SC,2019,39.9
SD,2005,37.0
SD,2006,37.3
SD,2007,37.1
SD,2008,37.6
SD,2009,36.8
SD,2010,37.3
SD,2011,37.1
SD,2012,36.7
SD,2013,36.6
SD,2014,36.6
SD,2015,36.9
SD,2016,36.8
SD,2017,36.9
SD,2018,37.2
SD,2019,37.7
TN,2005,37.3
TN,2006,37.2
TN,2007,37.5
TN,2008,37.7
TN,2009,37.7
TN,2010,38.0
TN,2011,38.3
TN,2012,38.2
TN,2013,38.5
TN,2014,38.6
TN,2015,38.7
TN,2016,38.6
TN,2017,38.6
TN,2018,38.9
TN,2019,39.0
TX,2005,33.2
TX,2006,33.1
TX,2007,33.2
TX,2008,33.2
TX,2009,33.1
TX,2010,33.6
TX,2011,33.7
TX,2012,33.9
TX,2013,34.0
TX,2014,34.3
TX,2015,34.4
TX,2016,34.5
TX,2017,34.7
TX,2018,34.9
TX,2019,35.1
UT,2005,28.5
UT,2006,28.4
UT,2007,28.4
UT,2008,28.7
UT,2009,28.9
UT,2010,29.2
UT,2011,29.6
UT,2012,29.9
UT,2013,30.2
UT,2014,30.5
UT,2015,30.6
UT,2016,30.7
UT,2017,31.0
UT,2018,31.0
UT,2019,31.2
VT,2005,40.7
VT,2006,40.6
VT,2007,40.6
VT,2008,41.5
VT,2009,41.5
VT,2010,41.5
VT,2011,42.0
VT,2012,42.4
VT,2013,42.5
VT,2014,42.8
VT,2015,43.1
VT,2016,43.1
VT,2017,42.6
VT,2018,43.1
VT,2019,42.8
VA,2005,37.2
VA,2006,36.9
VA,2007,37.0
VA,2008,37.5
VA,2009,37.0
VA,2010,37.5
VA,2011,37.6
VA,2012,37.5
VA,2013,37.6
VA,2014,37.7
VA,2015,37.8
VA,2016,38.2
VA,2017,38.2
VA,2018,38.3
VA,2019,38.5
WA,2005,36.7
WA,2006,36.7
WA,2007,37.1
WA,2008,37.3
WA,2009,36.9
WA,2010,37.2
WA,2011,37.3
WA,2012,37.5
WA,2013,37.4
WA,2014,37.5
WA,2015,37.5
WA,2016,37.7
WA,2017,37.7
WA,2018,37.7
WA,2019,37.9
WV,2005,40.7
WV,2006,40.7
WV,2007,40.4
WV,2008,40.6
WV,2009,40.8
WV,2010,41.2
WV,2011,41.4
WV,2012,41.5
WV,2013,41.7
WV,2014,41.9
WV,2015,42.2
WV,2016,42.3
WV,2017,42.4
WV,2018,42.8
WV,2019,42.9
WI,2005,37.9
WI,2006,37.6
WI,2007,38.0
WI,2008,38.2
WI,2009,38.4
WI,2010,38.5
WI,2011,38.7
WI,2012,38.8
WI,2013,39.0
WI,2014,39.2
WI,2015,39.4
WI,2016,39.4
WI,2017,39.5
WI,2018,39.6
WI,2019,39.9
WY,2005,39.1
WY,2006,37.5
WY,2007,36.9
WY,2008,36.6
WY,2009,36.7
WY,2010,36.7
WY,2011,36.8
WY,2012,36.9
WY,2013,36.6
WY,2014,36.6
WY,2015,36.5
WY,2016,37.2
WY,2017,37.5
WY,2018,38.5
WY,2019,38.1
