state,year,per_pupil_expenditure
AL, 2018,10107
AK, 2018,18393
AZ, 2018,8773
AR, 2018,10412
CA, 2018,13831
CO, 2018,11072
CT, 2018,21140
DE, 2018,15929
DC, 2018,22831
FL, 2018,9986
GA, 2018,11203
HI, 2018,16132
ID, 2018,8043
IL, 2018,16281
IN, 2018,10252
IA, 2018,11933
KS, 2018,11328
KY, 2018,11280
LA, 2018,11920
ME, 2018,15686
MD, 2018,15576
MA, 2018,19196
MI, 2018,12052
MN, 2018,13297
MS, 2018,9253
MO, 2018,11349
MT, 2018,11984
NE, 2018,12746
NV, 2018,9126
NH, 2018,17457
NJ, 2018,21331
NM, 2018,10466
NY, 2018,24882
NC, 2018,9799
ND, 2018,14033
OH, 2018,13433
OK, 2018,9203
OR, 2018,12457
PA, 2018,16892
RI, 2018,17539
SC, 2018,10994
SD, 2018,10325
TN, 2018,9941
TX, 2018,9868
UT, 2018,7950
VT, 2018,21217
VA, 2018,12642
WA, 2018,14342
WV, 2018,12269
WI, 2018,12690
WY, 2018,16228
AL, 2017,9717
AK, 2017,17726
AZ, 2017,8373
AR, 2017,10168
CA, 2017,12664
CO, 2017,10238
CT, 2017,20147
DE, 2017,15282
DC, 2017,23155
FL, 2017,9663
GA, 2017,10760
HI, 2017,15242
ID, 2017,7846
IL, 2017,15912
IN, 2017,10033
IA, 2017,11724
KS, 2017,11095
KY, 2017,11081
LA, 2017,11636
ME, 2017,15069
MD, 2017,15155
MA, 2017,18328
MI, 2017,11688
MN, 2017,12910
MS, 2017,8909
MO, 2017,11034
MT, 2017,11512
NE, 2017,12813
NV, 2017,9040
NH, 2017,16588
NJ, 2017,20316
NM, 2017,9963
NY, 2017,23686
NC, 2017,9277
ND, 2017,13783
OH, 2017,12893
OK, 2017,8174
OR, 2017,11903
PA, 2017,16377
RI, 2017,16954
SC, 2017,10705
SD, 2017,10263
TN, 2017,9599
TX, 2017,9670
UT, 2017,7576
VT, 2017,20149
VA, 2017,12224
WA, 2017,12985
WV, 2017,11572
WI, 2017,12446
WY, 2017,16134
AL, 2016,9528
AK, 2016,17838
AZ, 2016,8053
AR, 2016,10004
CA, 2016,12151
CO, 2016,9849
CT, 2016,19929
DE, 2016,14892
DC, 2016,22561
FL, 2016,9374
GA, 2016,10274
HI, 2016,14322
ID, 2016,7554
IL, 2016,15517
IN, 2016,9823
IA, 2016,11456
KS, 2016,10428
KY, 2016,10083
LA, 2016,11379
ME, 2016,14633
MD, 2016,14933
MA, 2016,17718
MI, 2016,11256
MN, 2016,12635
MS, 2016,8755
MO, 2016,10684
MT, 2016,11538
NE, 2016,12662
NV, 2016,9120
NH, 2016,15958
NJ, 2016,19585
NM, 2016,9949
NY, 2016,22861
NC, 2016,8995
ND, 2016,13767
OH, 2016,12569
OK, 2016,7921
OR, 2016,11252
PA, 2016,15782
RI, 2016,16620
SC, 2016,10419
SD, 2016,10117
TN, 2016,9246
TX, 2016,9520
UT, 2016,7206
VT, 2016,19480
VA, 2016,11885
WA, 2016,11971
WV, 2016,11745
WI, 2016,11962
WY, 2016,16513
AL, 2015,9258
AK, 2015,17510
AZ, 2015,7772
AR, 2015,9900
CA, 2015,11420
CO, 2015,9619
CT, 2015,19615
DE, 2015,14397
DC, 2015,21135
FL, 2015,9176
GA, 2015,9835
HI, 2015,13748
ID, 2015,7178
IL, 2015,14327
IN, 2015,9691
IA, 2015,11148
KS, 2015,10216
KY, 2015,9831
LA, 2015,11169
ME, 2015,14202
MD, 2015,14523
MA, 2015,16986
MI, 2015,11051
MN, 2015,12364
MS, 2015,8692
MO, 2015,10385
MT, 2015,11374
NE, 2015,12379
NV, 2015,8753
NH, 2015,15535
NJ, 2015,19041
NM, 2015,9959
NY, 2015,22231
NC, 2015,8717
ND, 2015,13358
OH, 2015,11933
OK, 2015,8091
OR, 2015,10823
PA, 2015,15165
RI, 2015,16082
SC, 2015,10045
SD, 2015,9335
TN, 2015,8876
TX, 2015,9352
UT, 2015,7006
VT, 2015,19023
VA, 2015,11435
WA, 2015,11484
WV, 2015,11424
WI, 2015,11664
WY, 2015,16431
AL, 2014,9146
AK, 2014,20191
AZ, 2014,7590
AR, 2014,9805
CA, 2014,10449
CO, 2014,9292
CT, 2014,19020
DE, 2014,13882
DC, 2014,20610
FL, 2014,9113
GA, 2014,9476
HI, 2014,12855
ID, 2014,6899
IL, 2014,13935
IN, 2014,9529
IA, 2014,10938
KS, 2014,10329
KY, 2014,9560
LA, 2014,11106
ME, 2014,13976
MD, 2014,14431
MA, 2014,16566
MI, 2014,10956
MN, 2014,11924
MS, 2014,8445
MO, 2014,10231
MT, 2014,11078
NE, 2014,12174
NV, 2014,8451
NH, 2014,14969
NJ, 2014,18838
NM, 2014,9724
NY, 2014,20744
NC, 2014,8529
ND, 2014,12909
OH, 2014,11730
OK, 2014,8075
OR, 2014,10457
PA, 2014,14405
RI, 2014,15797
SC, 2014,9831
SD, 2014,9103
TN, 2014,8759
TX, 2014,9081
UT, 2014,6751
VT, 2014,18769
VA, 2014,11235
WA, 2014,10684
WV, 2014,11512
WI, 2014,11538
WY, 2014,16047
AL, 2013,9036
AK, 2013,18466
AZ, 2013,7457
AR, 2013,9752
CA, 2013,9671
CO, 2013,9036
CT, 2013,18401
DE, 2013,13793
DC, 2013,20577
FL, 2013,8955
GA, 2013,9236
HI, 2013,12400
ID, 2013,6577
IL, 2013,13213
IN, 2013,9396
IA, 2013,10647
KS, 2013,10240
KY, 2013,9411
LA, 2013,10853
ME, 2013,13267
MD, 2013,14217
MA, 2013,15886
MI, 2013,10649
MN, 2013,11427
MS, 2013,8265
MO, 2013,9938
MT, 2013,10941
NE, 2013,11877
NV, 2013,8275
NH, 2013,14601
NJ, 2013,18780
NM, 2013,9403
NY, 2013,20156
NC, 2013,8287
ND, 2013,12032
OH, 2013,11434
OK, 2013,7995
OR, 2013,9959
PA, 2013,13824
RI, 2013,15372
SC, 2013,9608
SD, 2013,9036
TN, 2013,8662
TX, 2013,8602
UT, 2013,6546
VT, 2013,18066
VA, 2013,10955
WA, 2013,10305
WV, 2013,11371
WI, 2013,11345
WY, 2013,15903
AL, 2012,8773
AK, 2012,18217
AZ, 2012,7495
AR, 2012,9538
CA, 2012,9258
CO, 2012,8693
CT, 2012,17321
DE, 2012,13653
DC, 2012,20530
FL, 2012,8623
GA, 2012,9121
HI, 2012,11743
ID, 2012,6761
IL, 2012,12443
IN, 2012,9421
IA, 2012,10291
KS, 2012,10011
KY, 2012,9274
LA, 2012,10539
ME, 2012,12655
MD, 2012,14086
MA, 2012,15321
MI, 2012,10515
MN, 2012,11065
MS, 2012,8117
MO, 2012,9702
MT, 2012,10662
NE, 2012,11743
NV, 2012,8026
NH, 2012,14050
NJ, 2012,18523
NM, 2012,9164
NY, 2012,19529
NC, 2012,8342
ND, 2012,11615
OH, 2012,11276
OK, 2012,7914
OR, 2012,9183
PA, 2012,13445
RI, 2012,14889
SC, 2012,9444
SD, 2012,8630
TN, 2012,8588
TX, 2012,8261
UT, 2012,6432
VT, 2012,17286
VA, 2012,10960
WA, 2012,9714
WV, 2012,11257
WI, 2012,11186
WY, 2012,15815
AL, 2011,8577
AK, 2011,17475
AZ, 2011,7382
AR, 2011,9536
CA, 2011,9329
CO, 2011,8594
CT, 2011,16855
DE, 2011,13580
DC, 2011,19847
FL, 2011,8520
GA, 2011,9272
HI, 2011,11973
ID, 2011,6626
IL, 2011,12011
IN, 2011,9588
IA, 2011,10027
KS, 2011,10021
KY, 2011,9327
LA, 2011,10726
ME, 2011,12335
MD, 2011,13871
MA, 2011,14844
MI, 2011,10477
MN, 2011,10781
MS, 2011,8097
MO, 2011,9514
MT, 2011,10569
NE, 2011,11640
NV, 2011,8130
NH, 2011,13774
NJ, 2011,17982
NM, 2011,9013
NY, 2011,19396
NC, 2011,8160
ND, 2011,11246
OH, 2011,11323
OK, 2011,7763
OR, 2011,9485
PA, 2011,13091
RI, 2011,15172
SC, 2011,9077
SD, 2011,8593
TN, 2011,8354
TX, 2011,8213
UT, 2011,6441
VT, 2011,16651
VA, 2011,10656
WA, 2011,9617
WV, 2011,11579
WI, 2011,11233
WY, 2011,15988
AL, 2010,8726
AK, 2010,16663
AZ, 2010,7782
AR, 2010,9496
CA, 2010,9146
CO, 2010,8786
CT, 2010,16224
DE, 2010,12467
DC, 2010,20793
FL, 2010,9030
GA, 2010,9259
HI, 2010,11924
ID, 2010,6821
IL, 2010,11742
IN, 2010,9251
IA, 2010,9795
KS, 2010,9802
KY, 2010,9228
LA, 2010,10799
ME, 2010,12576
MD, 2010,14123
MA, 2010,14285
MI, 2010,10577
MN, 2010,10674
MS, 2010,7926
MO, 2010,9461
MT, 2010,10719
NE, 2010,11540
NV, 2010,8411
NH, 2010,13548
NJ, 2010,16855
NM, 2010,9250
NY, 2010,18834
NC, 2010,8267
ND, 2010,10898
OH, 2010,11395
OK, 2010,7631
OR, 2010,9516
PA, 2010,13096
RI, 2010,14948
SC, 2010,8903
SD, 2010,8931
TN, 2010,8484
TX, 2010,8685
UT, 2010,6326
VT, 2010,14707
VA, 2010,10363
WA, 2010,9619
WV, 2010,11978
WI, 2010,11946
WY, 2010,15815
AL, 2009,8907
AK, 2009,15829
AZ, 2009,7968
AR, 2009,9281
CA, 2009,9300
CO, 2009,8926
CT, 2009,15698
DE, 2009,12222
DC, 2009,20910
FL, 2009,8863
GA, 2009,9432
HI, 2009,11714
ID, 2009,7100
IL, 2009,11739
IN, 2009,9479
IA, 2009,9748
KS, 2009,9972
KY, 2009,8957
LA, 2009,10701
ME, 2009,12452
MD, 2009,14007
MA, 2009,14699
MI, 2009,10447
MN, 2009,10665
MS, 2009,8104
MO, 2009,9721
MT, 2009,10565
NE, 2009,11460
NV, 2009,8376
NH, 2009,13072
NJ, 2009,17379
NM, 2009,9621
NY, 2009,18167
NC, 2009,8225
ND, 2009,10519
OH, 2009,11224
OK, 2009,7929
OR, 2009,9268
PA, 2009,12729
RI, 2009,14723
SC, 2009,9080
SD, 2009,9020
TN, 2009,8117
TX, 2009,8788
UT, 2009,6452
VT, 2009,16006
VA, 2009,10594
WA, 2009,9497
WV, 2009,11730
WI, 2009,11453
WY, 2009,15232
AL, 2008,8964
AK, 2008,15363
AZ, 2008,8022
AR, 2008,8854
CA, 2008,9503
CO, 2008,8782
CT, 2008,15353
DE, 2008,12109
DC, 2008,19698
FL, 2008,8867
GA, 2008,9649
HI, 2008,12400
ID, 2008,7118
IL, 2008,11097
IN, 2008,9254
IA, 2008,9704
KS, 2008,10204
KY, 2008,8786
LA, 2008,10625
ME, 2008,12183
MD, 2008,13737
MA, 2008,14534
MI, 2008,10373
MN, 2008,10983
MS, 2008,8064
MO, 2008,9617
MT, 2008,10120
NE, 2008,10846
NV, 2008,8321
NH, 2008,12583
NJ, 2008,16973
NM, 2008,9648
NY, 2008,17746
NC, 2008,8463
ND, 2008,9802
OH, 2008,10669
OK, 2008,7878
OR, 2008,9611
PA, 2008,12299
RI, 2008,14719
SC, 2008,9228
SD, 2008,8543
TN, 2008,7992
TX, 2008,8562
UT, 2008,6612
VT, 2008,15096
VA, 2008,10928
WA, 2008,9585
WV, 2008,10606
WI, 2008,11183
WY, 2008,14628
AL, 2007,9197
AK, 2007,14641
AZ, 2007,7727
AR, 2007,8677
CA, 2007,9706
CO, 2007,9152
CT, 2007,14610
DE, 2007,12153
DC, 2007,16353
FL, 2007,9084
GA, 2007,9718
HI, 2007,11800
ID, 2007,6951
IL, 2007,10353
IN, 2007,8867
IA, 2007,9520
KS, 2007,9894
KY, 2007,8740
LA, 2007,10006
ME, 2007,11761
MD, 2007,13257
MA, 2007,13690
MI, 2007,10075
MN, 2007,10060
MS, 2007,7890
MO, 2007,9532
MT, 2007,9786
NE, 2007,10565
NV, 2007,8187
NH, 2007,11951
NJ, 2007,17620
NM, 2007,9291
NY, 2007,16794
NC, 2007,7798
ND, 2007,9324
OH, 2007,10340
OK, 2007,7683
OR, 2007,9565
PA, 2007,11741
RI, 2007,14459
SC, 2007,9060
SD, 2007,8535
TN, 2007,7820
TX, 2007,8350
UT, 2007,5978
VT, 2007,14421
VA, 2007,10664
WA, 2007,9058
WV, 2007,10059
WI, 2007,10791
WY, 2007,13856
AL, 2006,8398
AK, 2006,12324
AZ, 2006,7316
AR, 2006,8391
CA, 2006,8952
CO, 2006,8286
CT, 2006,13659
DE, 2006,11760
DC, 2006,15511
FL, 2006,8567
GA, 2006,9102
HI, 2006,11316
ID, 2006,6648
IL, 2006,9596
IN, 2006,9080
IA, 2006,8791
KS, 2006,9243
KY, 2006,7941
LA, 2006,8937
ME, 2006,11644
MD, 2006,11989
MA, 2006,12784
MI, 2006,9876
MN, 2006,9589
MS, 2006,7459
MO, 2006,8848
MT, 2006,9191
NE, 2006,10068
NV, 2006,7796
NH, 2006,11036
NJ, 2006,16163
NM, 2006,8849
NY, 2006,15546
NC, 2006,7878
ND, 2006,8671
OH, 2006,9937
OK, 2006,7430
OR, 2006,8958
PA, 2006,10905
RI, 2006,13453
SC, 2006,8507
SD, 2006,8064
TN, 2006,7129
TX, 2006,7850
UT, 2006,5709
VT, 2006,13629
VA, 2006,10214
WA, 2006,8524
WV, 2006,9727
WI, 2006,10372
WY, 2006,13266
AL, 2005,7683
AK, 2005,11476
AZ, 2005,6515
AR, 2005,8030
CA, 2005,8301
CO, 2005,8166
CT, 2005,13072
DE, 2005,11621
DC, 2005,13752
FL, 2005,7812
GA, 2005,8595
HI, 2005,9876
ID, 2005,6469
IL, 2005,9113
IN, 2005,8929
IA, 2005,8355
KS, 2005,8640
KY, 2005,7668
LA, 2005,8486
ME, 2005,10841
MD, 2005,10909
MA, 2005,12087
MI, 2005,9575
MN, 2005,9159
MS, 2005,7173
MO, 2005,8273
MT, 2005,8626
NE, 2005,9324
NV, 2005,7177
NH, 2005,10396
NJ, 2005,14954
NM, 2005,8354
NY, 2005,14615
NC, 2005,7396
ND, 2005,8728
OH, 2005,9692
OK, 2005,6941
OR, 2005,8645
PA, 2005,10723
RI, 2005,12609
SC, 2005,8120
SD, 2005,7775
TN, 2005,7004
TX, 2005,7480
UT, 2005,5464
VT, 2005,12805
VA, 2005,9452
WA, 2005,7984
WV, 2005,9440
WI, 2005,9993
WY, 2005,11437
AL, 2004,7073
AK, 2004,10847
AZ, 2004,6307
AR, 2004,7659
CA, 2004,7905
CO, 2004,7826
CT, 2004,12263
DE, 2004,10911
DC, 2004,13915
FL, 2004,7215
GA, 2004,8065
HI, 2004,8997
ID, 2004,6319
IL, 2004,8896
IN, 2004,8919
IA, 2004,7962
KS, 2004,7926
KY, 2004,7132
LA, 2004,7669
ME, 2004,10342
MD, 2004,10031
MA, 2004,11642
MI, 2004,9340
MN, 2004,8718
MS, 2004,6548
MO, 2004,7858
MT, 2004,8133
NE, 2004,8794
NV, 2004,6804
NH, 2004,9771
NJ, 2004,14117
NM, 2004,7834
NY, 2004,13703
NC, 2004,7098
ND, 2004,8279
OH, 2004,9330
OK, 2004,6610
OR, 2004,8071
PA, 2004,10235
RI, 2004,11667
SC, 2004,7549
SD, 2004,7464
TN, 2004,6850
TX, 2004,7246
UT, 2004,5216
VT, 2004,11972
VA, 2004,8886
WA, 2004,7717
WV, 2004,9024
WI, 2004,9755
WY, 2004,10190
AL, 2003,6581
AK, 2003,10116
AZ, 2003,5999
AR, 2003,6842
CA, 2003,7673
CO, 2003,7478
CT, 2003,11436
DE, 2003,10212
DC, 2003,12959
FL, 2003,6793
GA, 2003,7742
HI, 2003,8533
ID, 2003,6168
IL, 2003,8606
IN, 2003,8431
IA, 2003,7626
KS, 2003,7776
KY, 2003,6864
LA, 2003,7271
ME, 2003,9746
MD, 2003,9433
MA, 2003,11015
MI, 2003,9094
MN, 2003,8405
MS, 2003,6199
MO, 2003,7542
MT, 2003,7825
NE, 2003,8452
NV, 2003,6410
NH, 2003,9161
NJ, 2003,13338
NM, 2003,7572
NY, 2003,12638
NC, 2003,6613
ND, 2003,7333
OH, 2003,9029
OK, 2003,6154
OR, 2003,7618
PA, 2003,9708
RI, 2003,11078
SC, 2003,7177
SD, 2003,7068
TN, 2003,6466
TX, 2003,7151
UT, 2003,4991
VT, 2003,11211
VA, 2003,8219
WA, 2003,7391
WV, 2003,8588
WI, 2003,9240
WY, 2003,9308
AL, 2002,6300
AK, 2002,9870
AZ, 2002,6283
AR, 2002,6482
CA, 2002,7552
CO, 2002,7384
CT, 2002,11057
DE, 2002,9693
DC, 2002,11847
FL, 2002,6439
GA, 2002,7774
HI, 2002,8100
ID, 2002,6081
IL, 2002,8287
IN, 2002,8057
IA, 2002,7574
KS, 2002,7454
KY, 2002,6661
LA, 2002,6922
ME, 2002,9344
MD, 2002,9153
MA, 2002,10460
MI, 2002,8781
MN, 2002,8109
MS, 2002,5792
MO, 2002,7495
MT, 2002,7496
NE, 2002,8074
NV, 2002,6092
NH, 2002,8579
NJ, 2002,12568
NM, 2002,7125
NY, 2002,11961
NC, 2002,6562
ND, 2002,6870
OH, 2002,8632
OK, 2002,6092
OR, 2002,7491
PA, 2002,8997
RI, 2002,10349
SC, 2002,7040
SD, 2002,6547
TN, 2002,6118
TX, 2002,7136
UT, 2002,4838
VT, 2002,10454
VA, 2002,7822
WA, 2002,7252
WV, 2002,8319
WI, 2002,9004
WY, 2002,8985
AL, 2001,6029
AK, 2001,9563
AZ, 2001,5851
AR, 2001,6276
CA, 2001,7405
CO, 2001,6941
CT, 2001,10577
DE, 2001,9284
DC, 2001,12102
FL, 2001,6213
GA, 2001,7380
HI, 2001,7306
ID, 2001,6011
IL, 2001,7956
IN, 2001,7734
IA, 2001,7338
KS, 2001,7339
KY, 2001,6523
LA, 2001,6567
ME, 2001,8818
MD, 2001,8692
MA, 2001,10232
MI, 2001,8653
MN, 2001,7736
MS, 2001,5354
MO, 2001,7136
MT, 2001,7062
NE, 2001,7741
NV, 2001,6079
NH, 2001,7935
NJ, 2001,11793
NM, 2001,6882
NY, 2001,11218
NC, 2001,6495
ND, 2001,6709
OH, 2001,8069
OK, 2001,6229
OR, 2001,7642
PA, 2001,8537
RI, 2001,9703
SC, 2001,7017
SD, 2001,6424
TN, 2001,5948
TX, 2001,6771
UT, 2001,4900
VT, 2001,9806
VA, 2001,7496
WA, 2001,7039
WV, 2001,7844
WI, 2001,8634
WY, 2001,8645
AL, 2000,5885
AK, 2000,9216
AZ, 2000,5521
AR, 2000,5568
CA, 2000,6987
CO, 2000,6567
CT, 2000,10127
DE, 2000,8958
DC, 2000,12046
FL, 2000,6170
GA, 2000,6929
HI, 2000,6596
ID, 2000,5725
IL, 2000,7631
IN, 2000,7630
IA, 2000,6930
KS, 2000,6937
KY, 2000,6079
LA, 2000,6037
ME, 2000,8232
MD, 2000,8260
MA, 2000,9509
MI, 2000,8278
MN, 2000,7645
MS, 2000,5175
MO, 2000,6657
MT, 2000,6726
NE, 2000,7223
NV, 2000,5807
NH, 2000,7286
NJ, 2000,11248
NM, 2000,6313
NY, 2000,10716
NC, 2000,6340
ND, 2000,6125
OH, 2000,7571
OK, 2000,6019
OR, 2000,7528
PA, 2000,8210
RI, 2000,9315
SC, 2000,6631
SD, 2000,6191
TN, 2000,5687
TX, 2000,6539
UT, 2000,4674
VT, 2000,9153
VA, 2000,7281
WA, 2000,6750
WV, 2000,7534
WI, 2000,8243
WY, 2000,7835
AL, 1999,5638
AK, 1999,8806
AZ, 1999,5030
AR, 1999,5277
CA, 1999,6314
CO, 1999,6215
CT, 1999,9753
DE, 1999,8310
DC, 1999,10107
FL, 1999,5831
GA, 1999,6437
HI, 1999,6530
ID, 1999,5315
IL, 1999,7133
IN, 1999,7192
IA, 1999,6564
KS, 1999,6294
KY, 1999,5921
LA, 1999,5804
ME, 1999,7667
MD, 1999,7731
MA, 1999,8816
MI, 1999,8110
MN, 1999,7190
MS, 1999,5014
MO, 1999,6187
MT, 1999,6314
NE, 1999,6683
NV, 1999,5760
NH, 1999,6860
NJ, 1999,10337
NM, 1999,5825
NY, 1999,9846
NC, 1999,6045
ND, 1999,5667
OH, 1999,7065
OK, 1999,5395
OR, 1999,7149
PA, 1999,7772
RI, 1999,8904
SC, 1999,6130
SD, 1999,5632
TN, 1999,5383
TX, 1999,6288
UT, 1999,4378
VT, 1999,8323
VA, 1999,6841
WA, 1999,6376
WV, 1999,7152
WI, 1999,7806
WY, 1999,7425
AL, 1998,5188
AK, 1998,8404
AZ, 1998,4672
AR, 1998,4956
CA, 1998,5801
CO, 1998,5923
CT, 1998,9318
DE, 1998,7706
DC, 1998,9650
FL, 1998,5790
GA, 1998,6092
HI, 1998,6081
ID, 1998,5066
IL, 1998,6762
IN, 1998,6772
IA, 1998,6243
KS, 1998,6015
KY, 1998,5637
LA, 1998,5548
ME, 1998,7155
MD, 1998,7326
MA, 1998,8260
MI, 1998,7432
MN, 1998,6814
MS, 1998,4565
MO, 1998,5855
MT, 1998,5974
NE, 1998,6256
NV, 1998,5587
NH, 1998,6433
NJ, 1998,10145
NM, 1998,5440
NY, 1998,9344
NC, 1998,5656
ND, 1998,5442
OH, 1998,6590
OK, 1998,5303
OR, 1998,6828
PA, 1998,7450
RI, 1998,8294
SC, 1998,5656
SD, 1998,5259
TN, 1998,5123
TX, 1998,5685
UT, 1998,4210
VT, 1998,7541
VA, 1998,6350
WA, 1998,6110
WV, 1998,6677
WI, 1998,7527
WY, 1998,6842
AL, 1997,4849
AK, 1997,8271
AZ, 1997,4595
AR, 1997,4708
CA, 1997,5644
CO, 1997,5656
CT, 1997,8901
DE, 1997,7420
DC, 1997,8393
FL, 1997,5552
GA, 1997,5647
HI, 1997,5858
ID, 1997,4721
IL, 1997,6242
IN, 1997,6318
IA, 1997,5998
KS, 1997,5727
KY, 1997,5213
LA, 1997,5187
ME, 1997,6742
MD, 1997,7034
MA, 1997,7778
MI, 1997,7050
MN, 1997,6388
MS, 1997,4288
MO, 1997,5565
MT, 1997,5724
NE, 1997,5958
NV, 1997,5295
NH, 1997,6156
NJ, 1997,9643
NM, 1997,5005
NY, 1997,8852
NC, 1997,5257
ND, 1997,5056
OH, 1997,6198
OK, 1997,5033
OR, 1997,6419
PA, 1997,7209
RI, 1997,7928
SC, 1997,5320
SD, 1997,4669
TN, 1997,4937
TX, 1997,5444
UT, 1997,3969
VT, 1997,7075
VA, 1997,6065
WA, 1997,6040
WV, 1997,6323
WI, 1997,7123
WY, 1997,6218
